,book,juan,juansuffix,paraIdx,text
36207,New_Book_of_Tang,25,,39,晨平見，入冬至，依平。入小寒，日增所加六十六分。入立春，畢立夏，均加三日。小滿初日，加千九百六十四分。乃日損所加六十分。入夏至，依平。入小暑，日增所減六十分。入立秋，畢立冬，均減三日。小雪初日，減千九百六十四分。乃日損所減六十六分。
36379,New_Book_of_Tang,35,,61,延載元年九月，內出梨華一枝示宰相。萬木搖落而生華，陰陽黷也。《傳》曰：「天反時為災。」又近常燠也。
163167,New_Book_of_Tang,40,,53,沙州敦煌郡，下都督府。本瓜州，武德五年曰西沙州，貞觀七年曰沙州，土貢：子、黃礬、石膏。戶四千二百六十五，口萬六千二百五十。縣二：有府三，曰龍勒、效穀、懸泉。有豆盧軍，神龍元年置。敦煌，下。東四十七裏有鹽池，有三危山。壽昌。下。武德二年析敦煌置，永徽元年省，乾封二年複置，開元二十六年又省，後複置，治漢龍勒城。西有陽關，西北有玉門關；有雲雨山。
13136,New_Book_of_Tang,43,下,5,定襄都督府，貞觀四年析<n>頡利</n>部為二，以左部置，僑治寧朔。領州四：貞觀二十三年分諸部置州三。阿德州以阿史德部置。執失州以執失部置。蘇農州以蘇農部置。拔延州
13197,New_Book_of_Tang,43,下,66,思亮州杜州初漢州孚川州渠川州丘盧州祐州計州龍施州月亂州浪彌州月邊州團州櫃州威川州米羌州右隸巂州都督府。
189326,New_Book_of_Tang,49,上,18,左右金吾衛
90940,New_Book_of_Tang,76,,61,初，太常加謚後曰「大昭成」。或言：「法宜引『聖真』冠謚，而曰『大昭成』，非也。以單言配之，應曰『聖昭』若『睿成』；以復言配之，應曰『大聖昭成』、『聖真昭成』。」又引太穆皇後始謚穆，及高祖崩，合帝謚曰太穆，追增太穆神皇後；文德皇後始謚文德，及太宗崩，合謚文德聖皇後。又援<n>範曄</n>著漢光烈等為比。太常謂：「曄以帝號標後謚，是史家記事體，婦人非必與夫同也。入廟稱後，系夫；在朝稱太，系子。『文母』，生號也；『文王』，既沒謚也。周公豈以夫從婦乎？漢法不可以為據。」制曰「可」。天寶八載制詔，自太穆而下六皇後，並增上「順聖」二謚雲。
199528,New_Book_of_Tang,127,,4,突厥九姓新內屬，雜處太原北，嘉貞請置天兵軍綏護其眾，即以為天兵使。明年入朝，或告其反，按無狀，帝令坐告者。嘉貞辭曰：「國之重兵利器皆在邊，今告者一不當即罪之，臣恐塞言路，且為未來之患。昔天子聽政於上，瞍賦，蒙誦，百工諫，庶人謗，今將坐之，則後無繇聞天下事。」遂得減死。天子以為忠，且許以相。嘉貞因曰：「昔<n>馬周</n>起徒步，謁人主，血氣方壯，太宗用之，能盡其才，甫五十而沒。向使用少晚，則無及已。陛下不以臣不肖，必用之，要及其時，後衰無能為也。且百年壽孰為至者？臣常恐先朝露死溝壑，誠得效萬一，無負陛下足矣！」帝曰：「第往，行召卿。」
96365,New_Book_of_Tang,133,,1,◎二郭兩王張牛
22642,New_Book_of_Tang,138,,15,大曆二年，來朝。久之，加山南西道副元帥兼節度使，屯鷫厔。抱玉兼三節度、三副元帥，位望隆赫。乃上言：「隴坻達扶、文，綿地二千里，虜孔道不一，梁、岷重則關輔輕。願擇能臣，帥西道當一面，臣得專事關、隴。」帝多其讓，許之。抱玉在鎮十餘年，雖無破虜功，而禁暴安人，為將臣之良。卒，年七十四，贈太保，諡曰昭武。
114396,New_Book_of_Tang,163,,30,弟酆、郾、郇、鄯、鄲。
12687,New_Book_of_Tang,164,,55,弘禮短於治民，少愛利，晚頗務多積，素議訿之。
27965,New_Book_of_Tang,165,,48,德宗自興元還，置六軍統軍視六尚書，以處功臣，除制用白麻付外。又廢宣武軍，益左右神策，以監軍為中尉。<n>竇文場</n>恃功，陰諷宰相進擬如統軍比。絪當作制，奏言：「天子封建，或用宰相，以白麻署制，付中書、門下。今以命中尉，不識陛下特以寵文場邪？遂著為令也？」帝悟，謂文場曰：「武德、貞觀時，中人止內侍，諸衛將軍同正賜緋者無幾。自<n>魚朝恩</n>以來，無復舊制。朕今用爾不謂無私，若麻制宣告，天下謂爾脅我為之。」文場叩頭謝。更命中書作詔，並罷統軍用麻矣。明日，帝見絪曰：「宰相不能拒中人，得卿言乃悟。」
163457,New_Book_of_Tang,169,,4,皇太子總軍國事，擢黃裳門下侍郎、同中書門下平章事。於是，夏綏銀節度使<n>韓全義</n>憸佞無功，因其來朝，白罷之。俄而<n>劉辟</n>叛，議者以辟恃險，討之或生事，唯黃裳固勸不赦，因奏罷中人監軍，而專委<n>高崇文</n>。凡兵進退，黃裳自中指授，無不切於機。崇文素憚劉澭，黃裳使人謂曰：「公不奮命者，當以澭代。」崇文懼，一死力縛賊以獻。蜀平，群臣賀，憲宗目黃裳曰：「時卿之功。」
205879,New_Book_of_Tang,172,,16,李攻宋州，智興悉銳師出宋西鄙，破之漳口。平，加檢校尚書左僕射。<n>李同捷</n>以滄德叛，智興請悉師三萬賫五月糧討賊，詔拜檢校司徒、同中書門下平章事、滄德行營招撫使。既戰，降其將十輩、銳士三千，遂拔棣州。諸將聞，戰愈力，遂有功。入朝，燕麟德殿，賜予備厚。冊拜太傅，封雁門郡王，進兼侍中。改忠武、河中、宣武三節度。卒，年七十九，贈太尉。
32757,New_Book_of_Tang,179,,23,<n>王涯</n>，字廣津，其先本太原人，魏廣陽侯冏之裔。祖祚，武後時諫罷萬象神宮知名；開元時，以大理司直馳傳決獄，所至仁平。父晃，歷左補闕、溫州刺史。
