,book,juan,juansuffix,paraIdx,text
25837,New_Book_of_Tang,7,,7,三年正月丙寅，硃滔、成德軍節度使張孝忠及李惟岳戰於束鹿，敗之。辛未，減常膳及太子諸王食物。複榷酤。癸未，李納陷海、密二州。閏月乙未，李惟岳將康日知以趙州降。甲辰，惟嶽伏誅，其將楊榮國以深州降。庚戌，馬燧及田悅戰於洹水，敗之。是月，悅將李再春以博州降，田昂以洺州降。二月戊午，李惟岳將楊政義以定州降。甲戌，給複易、定、深、趙、恆、冀六州三年，赦吏民為李惟嶽迫脅者。己卯，震通化門。四月戊午，李納將李士真以德、棣二州降。甲子，借商錢。甲戌，昭義軍節度副使盧玄卿為魏博、澶相招討使。戊寅，張鎰罷。壬午，殺殿中侍御史鄭詹。是月，硃滔反，陷德、棣二州。五月辛卯，朔方軍節度使李懷光討田悅。六月甲子，京師地震。恆冀觀察使王武俊反。辛巳，李懷光、馬燧、李芃、李抱真及硃滔、王武俊、田悅戰於連篋山，敗績。七月壬辰，殿中丞李雲端謀反，伏誅。癸巳，停借商錢令。八月癸醜，演州司馬李孟秋、峰州刺史皮岸反，伏誅。九月丁亥，初稅商錢、茶、漆、竹、木。十月丙辰，吏部侍郎關播為中書侍郎、同中書門下平章事。李希烈反。丙子，肅王詳薨。
36207,New_Book_of_Tang,25,,39,晨平見，入冬至，依平。入小寒，日增所加六十六分。入立春，畢立夏，均加三日。小滿初日，加千九百六十四分。乃日損所加六十分。入夏至，依平。入小暑，日增所減六十分。入立秋，畢立冬，均減三日。小雪初日，減千九百六十四分。乃日損所減六十六分。
169485,New_Book_of_Tang,34,,102,乾寧末，陝州有蛇鼠鬥於南門之內，蛇死而鼠亡去。
24112,New_Book_of_Tang,50,,7,凡民年二十為兵，六十而免。其能騎而射者為越騎，其餘為步兵、武騎、排手、步射。
113429,New_Book_of_Tang,61,,175,十二月癸酉，勣為遼東道行軍大總管。
53230,New_Book_of_Tang,63,,142,八月，禮部尚書、諸道鹽鐵轉運使裴休本官同中書門下平章事，使如故。
192539,New_Book_of_Tang,87,,32,貞觀二年，旻、蘭表可取狀，詔柴紹、薛萬均並力，令旻以勁卒直據朔方東城。頡利來援，會大雪，羊馬死，紹逆戰，破之，進屯城下。其從父弟洛仁斬師都降，擢洛仁為右驍衛將軍、朔方郡公。自起至滅十二年。以其地為夏州。始師都據郡時，劉季真、郭子和者亦俱起，子和自有傳。
161580,New_Book_of_Tang,97,,25,它日，宴群臣，帝曰：「貞觀以前，從我定天下，間關草昧，玄齡功也。貞觀之後，納忠諫，正朕違，為國家長利，徵而已。雖古名臣，亦何以加！」親解佩刀，以賜二人。帝嘗問群臣：「徵與諸葛亮孰賢？」岑文本曰：「亮才兼將相，非徵可比。」帝曰：「徵蹈履仁義，以弼朕躬，欲致之堯、舜，雖亮無以抗。時上封者眾，或不切事，帝厭之，欲加譙黜，徵曰：「古者立謗木，欲聞己過。封事，其謗木之遺乎！陛下思聞得失，當恣其所陳。言而是乎，為朝廷之益；非乎，無損於政。」帝悅，皆勞遣之。
199528,New_Book_of_Tang,127,,4,突厥九姓新內屬，雜處太原北，嘉貞請置天兵軍綏護其眾，即以為天兵使。明年入朝，或告其反，按無狀，帝令坐告者。嘉貞辭曰：「國之重兵利器皆在邊，今告者一不當即罪之，臣恐塞言路，且為未來之患。昔天子聽政於上，瞍賦，蒙誦，百工諫，庶人謗，今將坐之，則後無繇聞天下事。」遂得減死。天子以為忠，且許以相。嘉貞因曰：「昔馬周起徒步，謁人主，血氣方壯，太宗用之，能盡其才，甫五十而沒。向使用少晚，則無及已。陛下不以臣不肖，必用之，要及其時，後衰無能為也。且百年壽孰為至者？臣常恐先朝露死溝壑，誠得效萬一，無負陛下足矣！」帝曰：「第往，行召卿。」
96365,New_Book_of_Tang,133,,1,◎二郭兩王張牛
22642,New_Book_of_Tang,138,,15,大曆二年，來朝。久之，加山南西道副元帥兼節度使，屯鷫厔。抱玉兼三節度、三副元帥，位望隆赫。乃上言：「隴坻達扶、文，綿地二千里，虜孔道不一，梁、岷重則關輔輕。願擇能臣，帥西道當一面，臣得專事關、隴。」帝多其讓，許之。抱玉在鎮十餘年，雖無破虜功，而禁暴安人，為將臣之良。卒，年七十四，贈太保，諡曰昭武。
114396,New_Book_of_Tang,163,,30,弟酆、郾、郇、鄯、鄲。
